imdb_id,popularity,budget,revenue,title,runtime,release_date
tt0369610,32.985763,150000000,1513528810,Jurassic World,124,6/9/2015
tt1392190,28.419936,150000000,378436354,Mad Max: Fury Road,120,5/13/2015
tt2908446,13.112507,110000000,295238201,Insurgent,119,3/18/2015
tt2488496,11.173104,200000000,2068178225,Star Wars: The Force Awakens,136,12/15/2015
tt2820852,9.335014,190000000,1506249360,Furious 7,137,4/1/2015
tt1663202,9.1107,135000000,532950503,The Revenant,156,12/25/2015
tt1340138,8.654359,155000000,440603537,Terminator Genisys,125,6/23/2015
tt3659388,7.6674,108000000,595380321,The Martian,141,9/30/2015
tt2293640,7.40416499999999,74000000,1156730962,Minions,91,6/17/2015
tt2096673,6.326804,175000000,853708609,Inside Out,94,6/9/2015
tt2379713,6.200282,245000000,880674609,Spectre,148,10/26/2015
tt1617661,6.189369,176000003,183987723,Jupiter Ascending,124,2/4/2015
tt0470752,6.118847,15000000,36869414,Ex Machina,108,1/21/2015
tt2120120,5.984995,88000000,243637091,Pixels,105,7/16/2015
tt2395427,5.944927,280000000,1405035767,Avengers: Age of Ultron,141,4/22/2015
tt3460252,5.8984,44000000,155760117,The Hateful Eight,167,12/25/2015
tt2446042,5.749758,48000000,325771424,Taken 3,109,1/1/2015
tt0478970,5.573184,130000000,518602163,Ant-Man,115,7/14/2015
tt1661199,5.556818,95000000,542351353,Cinderella,112,3/12/2015
tt1951266,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,136,11/18/2015
tt1964418,5.462138,190000000,209035668,Tomorrowland,130,5/19/2015
tt1798684,5.337064,30000000,91709827,Southpaw,123,6/15/2015
tt2126355,4.907832,110000000,470490832,San Andreas,114,5/27/2015
tt2322441,4.71040199999999,40000000,569651467,Fifty Shades of Grey,125,2/11/2015
tt1596363,4.648046,28000000,133346506,The Big Short,130,12/11/2015
tt2381249,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,131,7/23/2015
tt2637276,4.564549,68000000,215863606,Ted 2,115,6/25/2015
tt2802144,4.503789,81000000,403802136,Kingsman: The Secret Service,130,1/24/2015
tt1895587,4.062293,20000000,88346473,Spotlight,128,11/6/2015
tt4046784,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,132,9/9/2015
tt3168230,3.927333,0,29355203,Mr. Holmes,103,6/19/2015
tt1823672,3.899557,49000000,102069268,Chappie,120,3/4/2015
tt2848292,3.877764,29000000,287506194,Pitch Perfect 2,115,5/7/2015
tt3682448,3.64821,40000000,162610473,Bridge of Spies,141,10/15/2015
tt1051904,3.644541,58000000,150170815,Goosebumps,103,8/5/2015
tt3170832,3.557846,6000000,35401758,Room,117,10/16/2015
tt1291570,3.358321,0,22354572,Solace,101,9/3/2015
tt1979388,3.339135,175000000,331926147,The Good Dinosaur,93,11/14/2015
tt2199571,3.23737,50000000,71561644,Run All Night,114,3/11/2015
tt2381111,3.227329,11000000,62076141,Brooklyn,111,11/4/2015
tt1398426,3.202719,28000000,201634991,Straight Outta Compton,147,8/13/2015
tt1618442,3.080505,90000000,140396650,The Last Witch Hunter,106,10/21/2015
tt2080374,3.079522,30000000,34441873,Steve Jobs,122,10/9/2015
tt1638355,3.053421,75000000,108145109,The Man from U.N.C.L.E.,116,8/13/2015
tt1655441,3.025852,25000000,42629776,The Age of Adaline,112,4/16/2015
tt3072482,3.023253,10000000,14333790,Hardcore Henry,97,9/12/2015
tt2224026,2.976436,135000000,368871007,Home,94,3/18/2015
tt3622592,2.968254,12000000,85512300,Paper Towns,109,7/9/2015
tt2231253,2.93234,30000000,0,Wild Card,92,1/14/2015
tt3464902,2.885126,4000000,9064511,The Lobster,118,10/8/2015
tt2402927,2.883233,11800000,40272135,Carol,118,11/20/2015
tt2361509,2.814802,35000000,194564672,The Intern,121,9/24/2015
tt2719848,2.798017,55000000,203427584,Everest,121,9/10/2015
tt2446980,2.793297,60000000,101134059,Joy,124,12/24/2015
tt2058673,2.614499,105000000,133718711,Point Break,114,12/3/2015
tt2503944,2.584264,20000000,36606743,Burnt,100,10/2/2015
tt2140379,2.578919,26000000,30523226,Self/less,116,7/10/2015
tt3045616,2.575711,60000000,30418560,Mortdecai,106,1/21/2015
tt0810819,2.557859,15000000,64191523,The Danish Girl,120,11/27/2015
tt2717822,2.550747,70000000,17752940,Blackhat,133,1/13/2015
tt3397884,2.487849,30000000,84025816,Sicario,121,9/17/2015
tt1502712,2.487042,120000001,167977596,Fantastic Four,100,8/5/2015
tt4263482,2.46449,3500000,40423945,The Witch,92,3/24/2015
tt3079380,2.404473,65000000,235666219,Spy,120,5/6/2015
tt2381941,2.395366,50100000,153962963,Focus,105,2/25/2015
tt2679042,2.354654,35000000,82347656,Hitman: Agent 47,96,8/20/2015
tt1390411,2.345821,100000000,93820758,In the Heart of the Sea,122,11/20/2015
tt3247714,2.331636,20000000,0,Survivor,96,5/21/2015
tt3076658,2.331567,35000000,137935567,Creed,133,11/25/2015
tt3152624,2.31767,35000000,140795793,Trainwreck,125,7/17/2015
tt2057392,2.29573,13000000,32848185,Eye in the Sky,102,9/11/2015
tt3569230,2.28135,25000000,42972994,Legend,131,9/9/2015
tt2911668,2.272044,0,45895,Beyond the Reach,95,4/17/2015
tt3332064,2.234573,150000000,128388320,Pan,111,9/24/2015
tt3478232,2.165433,0,0,Mythica: The Darkspore,108,6/24/2015
tt2582496,2.141506,0,0,Me and Earl and the Dying Girl,105,6/12/2015
tt2452042,2.140199,99000000,246233113,The Peanuts Movie,88,11/5/2015
tt3322364,2.121884,35000000,48623572,Concussion,123,11/12/2015
tt3530002,2.096273,25000000,52395996,The Night Before,100,11/20/2015
